,Date,Transaction Count
164,20-12-2019 00:00,6086070
165,21-12-2019 00:00,6109322
166,22-12-2019 00:00,6217371
167,23-12-2019 00:00,6287221
168,24-12-2019 00:00,6584914
169,25-12-2019 00:00,6576903
170,26-12-2019 00:00,6103378
171,27-12-2019 00:00,6092890
172,28-12-2019 00:00,6116142
173,29-12-2019 00:00,6224190
174,30-12-2019 00:00,6294040
175,31-12-2019 00:00,6591734
176,01-01-2020 00:00,3340986
177,02-01-2020 00:00,2867462
178,03-01-2020 00:00,2856973
179,04-01-2020 00:00,2880225
180,05-01-2020 00:00,2988274
181,06-01-2020 00:00,3058124
182,07-01-2020 00:00,3355817
183,08-01-2020 00:00,3347806
184,09-01-2020 00:00,2874282
185,10-01-2020 00:00,2863793
186,11-01-2020 00:00,2887045
187,12-01-2020 00:00,2995094
188,13-01-2020 00:00,3064944
189,14-01-2020 00:00,3362637
190,15-01-2020 00:00,3354626
191,16-01-2020 00:00,2881102
192,17-01-2020 00:00,2870613
193,18-01-2020 00:00,2893865
194,19-01-2020 00:00,3001913
195,20-01-2020 00:00,3071764
196,21-01-2020 00:00,3369457
197,22-01-2020 00:00,3361445
198,23-01-2020 00:00,2887921
199,24-01-2020 00:00,2877432
200,25-01-2020 00:00,2900684
201,26-01-2020 00:00,3008733
202,27-01-2020 00:00,3078583
203,28-01-2020 00:00,3376277
204,29-01-2020 00:00,3368265
205,30-01-2020 00:00,2894741
206,31-01-2020 00:00,2884252
207,01-02-2020 00:00,2740668
208,02-02-2020 00:00,2848716
209,03-02-2020 00:00,2918567
210,04-02-2020 00:00,3216260
211,05-02-2020 00:00,3208249
212,06-02-2020 00:00,2734724
213,07-02-2020 00:00,2724235
214,08-02-2020 00:00,2747488
215,09-02-2020 00:00,2855536
216,10-02-2020 00:00,2925386
217,11-02-2020 00:00,3223080
218,12-02-2020 00:00,3215068
219,13-02-2020 00:00,2741544
220,14-02-2020 00:00,2731055
221,15-02-2020 00:00,2754307
222,16-02-2020 00:00,2862356
223,17-02-2020 00:00,2932206
224,18-02-2020 00:00,3229900
225,19-02-2020 00:00,3221888
226,20-02-2020 00:00,2748364
227,21-02-2020 00:00,2737875
228,22-02-2020 00:00,2761127
229,23-02-2020 00:00,2869176
230,24-02-2020 00:00,2939026
