,Date,Transaction Count
164,20-12-2019 00:00,10799220
165,21-12-2019 00:00,12433601
166,22-12-2019 00:00,13109751
167,23-12-2019 00:00,13121557
168,24-12-2019 00:00,14010744
169,25-12-2019 00:00,4072398
170,26-12-2019 00:00,5340731
171,27-12-2019 00:00,5431761
172,28-12-2019 00:00,5199865
173,29-12-2019 00:00,4759289
174,30-12-2019 00:00,4097562
175,31-12-2019 00:00,4211015
176,01-01-2020 00:00,3057870
177,02-01-2020 00:00,3666636
178,03-01-2020 00:00,3675024
179,04-01-2020 00:00,3754842
180,05-01-2020 00:00,3847796
181,06-01-2020 00:00,3202803
182,07-01-2020 00:00,3046570
183,08-01-2020 00:00,2938444
184,09-01-2020 00:00,3141155
185,10-01-2020 00:00,3129605
186,11-01-2020 00:00,3280886
187,12-01-2020 00:00,3329149
188,13-01-2020 00:00,2747909
189,14-01-2020 00:00,2770991
190,15-01-2020 00:00,2922284
191,16-01-2020 00:00,2825367
192,17-01-2020 00:00,2921020
193,18-01-2020 00:00,3268580
194,19-01-2020 00:00,3154739
195,20-01-2020 00:00,2555519
196,21-01-2020 00:00,2678597
197,22-01-2020 00:00,2640044
198,23-01-2020 00:00,2614170
199,24-01-2020 00:00,2606783
200,25-01-2020 00:00,3187092
201,26-01-2020 00:00,3073251
202,27-01-2020 00:00,2571870
203,28-01-2020 00:00,2561025
204,29-01-2020 00:00,2774519
205,30-01-2020 00:00,2686730
206,31-01-2020 00:00,2900770
207,01-02-2020 00:00,3405428
208,02-02-2020 00:00,3473204
209,03-02-2020 00:00,2834379
210,04-02-2020 00:00,2563580
211,05-02-2020 00:00,2660646
212,06-02-2020 00:00,2737859
213,07-02-2020 00:00,2730703
214,08-02-2020 00:00,3226638
215,09-02-2020 00:00,3315418
216,10-02-2020 00:00,2722143
217,11-02-2020 00:00,2779590
218,12-02-2020 00:00,2792401
219,13-02-2020 00:00,3463604
220,14-02-2020 00:00,3576241
221,15-02-2020 00:00,3129767
222,16-02-2020 00:00,3146386
223,17-02-2020 00:00,2549865
224,18-02-2020 00:00,2473900
225,19-02-2020 00:00,2505855
226,20-02-2020 00:00,2478244
227,21-02-2020 00:00,2559071
228,22-02-2020 00:00,2828167
229,23-02-2020 00:00,2978708
230,24-02-2020 00:00,2290193
231,25-02-2020 00:00,2437805
232,26-02-2020 00:00,2447101
233,27-02-2020 00:00,2488386
234,28-02-2020 00:00,2832339
235,29-02-2020 00:00,3217966
236,01-03-2020 00:00,3190737
237,02-03-2020 00:00,2541574
238,03-03-2020 00:00,2526409
239,04-03-2020 00:00,2478650
240,05-03-2020 00:00,2410245
241,06-03-2020 00:00,2638700
242,07-03-2020 00:00,2887556
243,08-03-2020 00:00,2844659
244,09-03-2020 00:00,2309159
245,10-03-2020 00:00,2462743
246,11-03-2020 00:00,2499466
247,12-03-2020 00:00,2445702
248,13-03-2020 00:00,2731340
249,14-03-2020 00:00,2966957
250,15-03-2020 00:00,3036442
251,16-03-2020 00:00,2445558
252,17-03-2020 00:00,2464353
253,18-03-2020 00:00,2421563
254,19-03-2020 00:00,2500105
255,20-03-2020 00:00,2502883
256,21-03-2020 00:00,2829986
257,22-03-2020 00:00,2860819
258,23-03-2020 00:00,2385965
259,24-03-2020 00:00,2516857
260,25-03-2020 00:00,2479376
261,26-03-2020 00:00,2518571
262,27-03-2020 00:00,2618460
263,28-03-2020 00:00,2988672
264,29-03-2020 00:00,2997277
265,30-03-2020 00:00,2507547
266,31-03-2020 00:00,2589233
267,01-04-2020 00:00,2519836
268,02-04-2020 00:00,2500086
269,03-04-2020 00:00,2582530
270,04-04-2020 00:00,2965222
271,05-04-2020 00:00,2870005
272,06-04-2020 00:00,2395135
273,07-04-2020 00:00,2558009
274,08-04-2020 00:00,2513292
275,09-04-2020 00:00,2559733
276,10-04-2020 00:00,2568503
277,11-04-2020 00:00,2983602
278,12-04-2020 00:00,3049004
279,13-04-2020 00:00,2543930
280,14-04-2020 00:00,2833847
281,15-04-2020 00:00,2790058
282,16-04-2020 00:00,2977487
283,17-04-2020 00:00,3238060
284,18-04-2020 00:00,3732293
285,19-04-2020 00:00,4587806
286,20-04-2020 00:00,2336806
287,21-04-2020 00:00,2647884
288,22-04-2020 00:00,2757748
289,23-04-2020 00:00,2672068
290,24-04-2020 00:00,2650650
291,25-04-2020 00:00,2908705
292,26-04-2020 00:00,2878568
293,27-04-2020 00:00,2426761
294,28-04-2020 00:00,2546652
295,29-04-2020 00:00,2816049
296,30-04-2020 00:00,2664373
297,01-05-2020 00:00,2912458
298,02-05-2020 00:00,3226419
299,03-05-2020 00:00,3167554
300,04-05-2020 00:00,2748756
301,05-05-2020 00:00,2910027
302,06-05-2020 00:00,2952676
303,07-05-2020 00:00,3056116
304,08-05-2020 00:00,3462233
305,09-05-2020 00:00,3741312
306,10-05-2020 00:00,4332423
307,11-05-2020 00:00,3334219
308,12-05-2020 00:00,2630420
309,13-05-2020 00:00,2598243
310,14-05-2020 00:00,2636084
311,15-05-2020 00:00,2779663
312,16-05-2020 00:00,3067144
313,17-05-2020 00:00,3071363
314,18-05-2020 00:00,2527300
315,19-05-2020 00:00,2631361
316,20-05-2020 00:00,2690208
317,21-05-2020 00:00,2790787
318,22-05-2020 00:00,2851052
319,23-05-2020 00:00,3176286
320,24-05-2020 00:00,2949871
